source_entity,target_entity,relationship_description,verbs
ATLAS'S DAUGHTER,ULYSSES,Atlas's daughter has captured Ulysses and tries to make him forget his home through blandishments,try
ATLAS'S DAUGHTER,ULYSSES,Atlas's daughter has captured Ulysses and tries to make him forget his home through blandishments,make
ATLAS'S DAUGHTER,ULYSSES,Atlas's daughter has captured Ulysses and tries to make him forget his home through blandishments,forget
ATLAS,ATLAS'S DAUGHTER,Atlas is the father of the goddess who holds Ulysses captive,be
ATLAS,ATLAS'S DAUGHTER,Atlas is the father of the goddess who holds Ulysses captive,hold
ULYSSES,TROY,Ulysses made many burnt sacrifices to the gods when he was before Troy,make
ULYSSES,TROY,Ulysses made many burnt sacrifices to the gods when he was before Troy,be
ULYSSES,JOVE,"Ulysses propitiated Jove with burnt sacrifices, and Jove acknowledges him as the most capable man on earth",propitiate
ULYSSES,JOVE,"Ulysses propitiated Jove with burnt sacrifices, and Jove acknowledges him as the most capable man on earth",acknowledge
NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,be
NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,torment
NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,blind
NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,prevent
NEPTUNE,ULYSSES,Neptune is furious with Ulysses for blinding Polyphemus and torments him by preventing him from getting home,get
ULYSSES,POLYPHEMUS,"Ulysses blinded an eye of Polyphemus, causing Neptune's wrath",blind
ULYSSES,POLYPHEMUS,"Ulysses blinded an eye of Polyphemus, causing Neptune's wrath",cause
POLYPHEMUS,CYCLOPES,Polyphemus is the king of the Cyclopes,be
NEPTUNE,POLYPHEMUS,Neptune is the father of Polyphemus,be
THOOSA,POLYPHEMUS,Thoosa is the mother of Polyphemus,be
PHORCYS,THOOSA,Phorcys is the father of Thoosa,be
PHORCYS,THOOSA,Phorcys is the father of Thoosa,father
MINERVA,JOVE,Minerva calls Jove father and discusses helping Ulysses with him,call
MINERVA,JOVE,Minerva calls Jove father and discusses helping Ulysses with him,discuss
MINERVA,JOVE,Minerva calls Jove father and discusses helping Ulysses with him,help
JOVE,MINERVA,Jove is the father of Minerva,be
JOVE,MINERVA,Jove is the father of Minerva,father
MINERVA,SATURN,Minerva is the daughter of Saturn and addresses him as father,be
MINERVA,SATURN,Minerva is the daughter of Saturn and addresses him as father,address
MINERVA,MERCURY,Minerva plans to send Mercury to the Ogygian island with a message for Calypso,plan
MINERVA,MERCURY,Minerva plans to send Mercury to the Ogygian island with a message for Calypso,send
MERCURY,CALYPSO,Mercury will be sent to tell Calypso that the gods have decided Ulysses should return,send
MERCURY,CALYPSO,Mercury will be sent to tell Calypso that the gods have decided Ulysses should return,tell
MERCURY,CALYPSO,Mercury will be sent to tell Calypso that the gods have decided Ulysses should return,decide
MERCURY,CALYPSO,Mercury will be sent to tell Calypso that the gods have decided Ulysses should return,return
CALYPSO,OGYGIAN ISLAND,Calypso resides on the Ogygian island,reside
ULYSSES,TELEMACHUS,Ulysses is the father of Telemachus,be
MINERVA,TELEMACHUS,Minerva will go to embolden Telemachus and help him,go
MINERVA,TELEMACHUS,Minerva will go to embolden Telemachus and help him,embolden
MINERVA,TELEMACHUS,Minerva will go to embolden Telemachus and help him,help
TELEMACHUS,PENELOPE,Telemachus is the son of Penelope,be
TELEMACHUS,ACHAEANS,Telemachus will call the Achaeans in assembly,call
MINERVA,ITHACA,Minerva will go to Ithaca to help Telemachus,go
MINERVA,ITHACA,Minerva will go to Ithaca to help Telemachus,help
MINERVA,SPARTA,Minerva will conduct Telemachus to Sparta to seek news of his father,conduct
MINERVA,SPARTA,Minerva will conduct Telemachus to Sparta to seek news of his father,seek
MINERVA,PYLOS,Minerva will conduct Telemachus to Pylos to seek news of his father,conduct
MINERVA,PYLOS,Minerva will conduct Telemachus to Pylos to seek news of his father,seek
MINERVA,GOLDEN SANDALS,Minerva wears the golden sandals that allow her to fly,wear
MINERVA,GOLDEN SANDALS,Minerva wears the golden sandals that allow her to fly,allow
MINERVA,GOLDEN SANDALS,Minerva wears the golden sandals that allow her to fly,fly
MINERVA,BRONZE-SHOD SPEAR,Minerva grasps and wields the bronze-shod spear to quell heroes,grasp
MINERVA,BRONZE-SHOD SPEAR,Minerva grasps and wields the bronze-shod spear to quell heroes,wield
MINERVA,BRONZE-SHOD SPEAR,Minerva grasps and wields the bronze-shod spear to quell heroes,quell
MINERVA,OLYMPUS,Minerva darted down from the topmost summits of Olympus,dart
MINERVA,ITHACA,Minerva arrives in Ithaca at the gateway of Ulysses' house,arrive
MINERVA,ULYSSES,Minerva visits Ulysses' house while he is away,visit
MINERVA,ULYSSES,Minerva visits Ulysses' house while he is away,be
MINERVA,MENTES,Minerva disguises herself as Mentes,disguise
MENTES,TAPHIANS,Mentes is the chief of the Taphians,be
MINERVA,BRONZE SPEAR,Minerva holds a bronze spear in her hand while disguised,hold
SUITORS,ULYSSES,"The suitors are gathered at Ulysses' house, eating his oxen and playing draughts",gather
SUITORS,ULYSSES,"The suitors are gathered at Ulysses' house, eating his oxen and playing draughts",eat
SUITORS,ULYSSES,"The suitors are gathered at Ulysses' house, eating his oxen and playing draughts",play
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and thinks about his brave father,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and thinks about his brave father,think
TELEMACHUS,SUITORS,Telemachus sits moodily among the suitors,sit
TELEMACHUS,MINERVA,"Telemachus sees Minerva first and welcomes her, taking her right hand and asking for her spear",see
TELEMACHUS,MINERVA,"Telemachus sees Minerva first and welcomes her, taking her right hand and asking for her spear",welcome
TELEMACHUS,MINERVA,"Telemachus sees Minerva first and welcomes her, taking her right hand and asking for her spear",take
TELEMACHUS,MINERVA,"Telemachus sees Minerva first and welcomes her, taking her right hand and asking for her spear",ask
TELEMACHUS,MINERVA,Telemachus welcomes Minerva as a guest and leads her into the house,welcome
TELEMACHUS,MINERVA,Telemachus welcomes Minerva as a guest and leads her into the house,lead
MINERVA,SPEAR,Minerva carries the spear that Telemachus takes from her,carry
MINERVA,SPEAR,Minerva carries the spear that Telemachus takes from her,take
TELEMACHUS,SPEAR,Telemachus takes Minerva's spear and places it in the spear-stand,take
TELEMACHUS,SPEAR,Telemachus takes Minerva's spear and places it in the spear-stand,place
SPEAR,SPEAR-STAND,The spear is placed in the spear-stand along with other spears,place
ULYSSES,SPEAR-STAND,Ulysses' many spears are kept in the spear-stand,keep
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and refers to him as his unhappy father,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and refers to him as his unhappy father,refer
TELEMACHUS,SUITORS,Telemachus wants to keep Minerva away from the noisy and insolent suitors,want
TELEMACHUS,SUITORS,Telemachus wants to keep Minerva away from the noisy and insolent suitors,keep
MAID SERVANT,GOLDEN EWER,The maid servant uses the golden ewer to bring water,use
MAID SERVANT,GOLDEN EWER,The maid servant uses the golden ewer to bring water,bring
MAID SERVANT,SILVER BASIN,The maid servant pours water into the silver basin,pour
UPPER SERVANT,TELEMACHUS,The upper servant serves bread and food to Telemachus and his guest,serve
CARVER,TELEMACHUS,The carver serves plates of meat and golden cups to Telemachus and his guest,serve
MANSERVANT,SUITORS,The manservant serves wine to the suitors and guests,serve
MEN SERVANTS,SUITORS,Men servants pour water over the suitors' hands,pour
MAIDS,SUITORS,Maids serve bread to the suitors using bread-baskets,serve
MAIDS,SUITORS,Maids serve bread to the suitors using bread-baskets,use
PAGES,MIXING-BOWLS,Pages fill the mixing-bowls with wine and water,fill
SUITORS,PHEMIUS,The suitors compel Phemius to sing to them,compel
SUITORS,PHEMIUS,The suitors compel Phemius to sing to them,sing
PHEMIUS,LYRE,Phemius plays the lyre while singing,play
PHEMIUS,LYRE,Phemius plays the lyre while singing,sing
TELEMACHUS,MINERVA,Telemachus speaks low to Minerva with his head close to hers so no one can hear,speak
TELEMACHUS,MINERVA,Telemachus speaks low to Minerva with his head close to hers so no one can hear,hear
TELEMACHUS,SUITORS,Telemachus criticizes the suitors' behavior and their costly banquet,criticize
PAGES,SUITORS,Pages serve the suitors by filling mixing-bowls with wine and water,serve
PAGES,SUITORS,Pages serve the suitors by filling mixing-bowls with wine and water,fill
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and speaks about his father's ill fate,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and speaks about his father's ill fate,speak
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and hopes his father will return there,live
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and hopes his father will return there,hope
TELEMACHUS,ITHACA,Telemachus lives in Ithaca and hopes his father will return there,return
ULYSSES,ITHACA,Ithaca is Ulysses's homeland where Telemachus hopes he will return,be
ULYSSES,ITHACA,Ithaca is Ulysses's homeland where Telemachus hopes he will return,hope
ULYSSES,ITHACA,Ithaca is Ulysses's homeland where Telemachus hopes he will return,return
TELEMACHUS,MINERVA,Telemachus questions Minerva about her identity and origins,question
MINERVA,MENTES,Minerva assumes the identity of Mentes in her disguise,assume
MENTES,ANCHIALUS,Mentes claims to be the son of Anchialus,claim
MENTES,TAPHIANS,Mentes claims to be the King of the Taphians,claim
MENTES,TAPHIANS,Mentes claims to be the King of the Taphians,be
MENTES,TEMESA,Mentes claims to be bound for Temesa on his voyage,claim
MENTES,TEMESA,Mentes claims to be bound for Temesa on his voyage,bind
MENTES,ITHACA,Mentes has come to Ithaca with his ship and crew,come
MENTES,TEMESA,Mentes is bound for Temesa with a cargo of iron to trade for copper,bind
MENTES,TEMESA,Mentes is bound for Temesa with a cargo of iron to trade for copper,trade
MENTES,RHEITHRON,Mentes' ship lies in the harbour Rheithron,lie
RHEITHRON,NERITUM,The harbour Rheithron is located under the wooded mountain Neritum,locate
MENTES,LAERTES,"Mentes' father was friends with Laertes, establishing a family connection",be
MENTES,LAERTES,"Mentes' father was friends with Laertes, establishing a family connection",establish
LAERTES,OLD WOMAN,The old woman looks after Laertes and prepares his meals,look after
LAERTES,OLD WOMAN,The old woman looks after Laertes and prepares his meals,prepare
LAERTES,VINEYARD,Laertes works in his vineyard and comes in tired from tending it,work
LAERTES,VINEYARD,Laertes works in his vineyard and comes in tired from tending it,come
LAERTES,VINEYARD,Laertes works in his vineyard and comes in tired from tending it,tend
MENTES,ULYSSES,Mentes came expecting to find Ulysses at home and speaks about his likely whereabouts,come
MENTES,ULYSSES,Mentes came expecting to find Ulysses at home and speaks about his likely whereabouts,expect
MENTES,ULYSSES,Mentes came expecting to find Ulysses at home and speaks about his likely whereabouts,find
MENTES,ULYSSES,Mentes came expecting to find Ulysses at home and speaks about his likely whereabouts,speak
ULYSSES,SAVAGES,Ulysses may be held prisoner by savages who are detaining him against his will,hold
ULYSSES,SAVAGES,Ulysses may be held prisoner by savages who are detaining him against his will,detain
MENTES,SHIP,Mentes owns and travels in the ship that lies in Rheithron harbour,own
MENTES,SHIP,Mentes owns and travels in the ship that lies in Rheithron harbour,travel
MENTES,SHIP,Mentes owns and travels in the ship that lies in Rheithron harbour,lie
ULYSSES,TELEMACHUS,"Ulysses is the father of Telemachus, though Telemachus questions this and calls him ill-starred",be
ULYSSES,TELEMACHUS,"Ulysses is the father of Telemachus, though Telemachus questions this and calls him ill-starred",question
ULYSSES,TELEMACHUS,"Ulysses is the father of Telemachus, though Telemachus questions this and calls him ill-starred",call
TELEMACHUS,ULYSSES,Telemachus resembles Ulysses about the head and eyes and is told he is his son,resemble
TELEMACHUS,ULYSSES,Telemachus resembles Ulysses about the head and eyes and is told he is his son,tell
ULYSSES,TROY,Ulysses sailed to Troy along with the flower of the Argives,sail
ULYSSES,ARGIVES,Ulysses went to Troy with the flower of all the Argives,go
MENTES,ULYSSES,Mentes was a close friend of Ulysses before he sailed to Troy,be
MENTES,ULYSSES,Mentes was a close friend of Ulysses before he sailed to Troy,sail
MENTES,TELEMACHUS,Mentes notices Telemachus's resemblance to Ulysses and comments on it,notice
MENTES,TELEMACHUS,Mentes notices Telemachus's resemblance to Ulysses and comments on it,comment
PENELOPE,TELEMACHUS,Penelope is the mother of Telemachus and tells him he is son to Ulysses,be
PENELOPE,TELEMACHUS,Penelope is the mother of Telemachus and tells him he is son to Ulysses,tell
MINERVA,TELEMACHUS,Minerva speaks to Telemachus about his race and asks about the feasting,speak
MINERVA,TELEMACHUS,Minerva speaks to Telemachus about his race and asks about the feasting,ask
ARGIVES,TROY,The flower of all the Argives went to Troy,go
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and speaks about his father's mysterious disappearance,be
TELEMACHUS,ULYSSES,Telemachus is the son of Ulysses and speaks about his father's mysterious disappearance,speak
GODS,ULYSSES,The gods in their displeasure have willed Ulysses to be hidden away,will
GODS,ULYSSES,The gods in their displeasure have willed Ulysses to be hidden away,hide
ULYSSES,TROY,Ulysses could have fallen at Troy with his men in battle,fall
ACHAEANS,ULYSSES,The Achaeans would have built a mound over Ulysses' ashes if he had died at Troy,build
ACHAEANS,ULYSSES,The Achaeans would have built a mound over Ulysses' ashes if he had died at Troy,die
STORM-WINDS,ULYSSES,The storm-winds have spirited Ulysses away without leaving a trace,spirit
STORM-WINDS,ULYSSES,The storm-winds have spirited Ulysses away without leaving a trace,leave
TELEMACHUS,GUESTS,Telemachus is dealing with guests who are behaving atrociously in his house,deal
TELEMACHUS,GUESTS,Telemachus is dealing with guests who are behaving atrociously in his house,behave
TELEMACHUS,PENELOPE,Telemachus is the son of Penelope who is being courted by suitors,be
CHIEFS,DULICHIUM,Chiefs come from the island of Dulichium to court Penelope,come
CHIEFS,DULICHIUM,Chiefs come from the island of Dulichium to court Penelope,court
CHIEFS,SAME,Chiefs come from the island of Same to court Penelope,come
CHIEFS,SAME,Chiefs come from the island of Same to court Penelope,court
CHIEFS,ZACYNTHUS,Chiefs come from the woodland island of Zacynthus to court Penelope,come
CHIEFS,ZACYNTHUS,Chiefs come from the woodland island of Zacynthus to court Penelope,court
CHIEFS,ITHACA,Principal men of Ithaca are among those eating up Telemachus's house,be
CHIEFS,ITHACA,Principal men of Ithaca are among those eating up Telemachus's house,eat
SUITORS,PENELOPE,Suitors are paying court to Penelope under this pretext,be
SUITORS,PENELOPE,Suitors are paying court to Penelope under this pretext,pay
SUITORS,TELEMACHUS,Suitors are making havoc of Telemachus's estate,be
SUITORS,TELEMACHUS,Suitors are making havoc of Telemachus's estate,make
MINERVA,ULYSSES,Minerva knew Ulysses when he was in their house drinking and making merry,know
MINERVA,ULYSSES,Minerva knew Ulysses when he was in their house drinking and making merry,be
MINERVA,ULYSSES,Minerva knew Ulysses when he was in their house drinking and making merry,drink
MINERVA,ULYSSES,Minerva knew Ulysses when he was in their house drinking and making merry,make
ULYSSES,HELMET,Minerva suggests giving Ulysses his helmet,suggest
ULYSSES,HELMET,Minerva suggests giving Ulysses his helmet,give
ULYSSES,SHIELD,Minerva suggests giving Ulysses his shield,suggest
ULYSSES,SHIELD,Minerva suggests giving Ulysses his shield,give
ULYSSES,LANCES,Minerva suggests giving Ulysses a couple of lances,suggest
ULYSSES,LANCES,Minerva suggests giving Ulysses a couple of lances,give
ULYSSES,EPHYRA,Ulysses went to Ephyra to beg poison for his arrows,go
ULYSSES,EPHYRA,Ulysses went to Ephyra to beg poison for his arrows,beg
ULYSSES,ILUS,Ulysses went to Ilus to beg poison for his arrows,go
ULYSSES,ILUS,Ulysses went to Ilus to beg poison for his arrows,beg
ILUS,MERMERUS,Ilus is the son of Mermerus,be
MENTES,ULYSSES,Mentes' father was very fond of Ulysses and gave him poison when Ilus would not,give
MENTES,ULYSSES,Mentes' father was very fond of Ulysses and gave him poison when Ilus would not,fond
ULYSSES,SUITORS,"If Ulysses returns, the suitors will have a short shrift and sorry wedding",return
ULYSSES,SUITORS,"If Ulysses returns, the suitors will have a short shrift and sorry wedding",have
MENTES,TELEMACHUS,Mentes advises Telemachus to call assembly and get rid of suitors,advise
MENTES,TELEMACHUS,Mentes advises Telemachus to call assembly and get rid of suitors,call
MENTES,TELEMACHUS,Mentes advises Telemachus to call assembly and get rid of suitors,get
MENTES,TELEMACHUS,Mentes advises Telemachus to call assembly and get rid of suitors,rid
TELEMACHUS,ACHAEAN HEROES,Telemachus is advised to call the Achaean heroes in assembly and lay his case before them,advise
TELEMACHUS,ACHAEAN HEROES,Telemachus is advised to call the Achaean heroes in assembly and lay his case before them,call
TELEMACHUS,ACHAEAN HEROES,Telemachus is advised to call the Achaean heroes in assembly and lay his case before them,lay
TELEMACHUS,PENELOPE,Telemachus is Penelope's son and is advised about her potential remarriage,be
TELEMACHUS,PENELOPE,Telemachus is Penelope's son and is advised about her potential remarriage,advise
PENELOPE,PENELOPE'S FATHER,Penelope should go back to her father who will find her a husband and provide marriage gifts,go
PENELOPE,PENELOPE'S FATHER,Penelope should go back to her father who will find her a husband and provide marriage gifts,find
PENELOPE,PENELOPE'S FATHER,Penelope should go back to her father who will find her a husband and provide marriage gifts,provide
TELEMACHUS,SHIP,Telemachus is advised to take the best ship he can get to search for his father,advise
TELEMACHUS,SHIP,Telemachus is advised to take the best ship he can get to search for his father,take
TELEMACHUS,SHIP,Telemachus is advised to take the best ship he can get to search for his father,get
TELEMACHUS,SHIP,Telemachus is advised to take the best ship he can get to search for his father,search
TELEMACHUS,CREW,Telemachus should take a crew of twenty men with him on his quest,take
TELEMACHUS,ULYSSES,Telemachus should go in quest of his father Ulysses who has long been missing,go
TELEMACHUS,ULYSSES,Telemachus should go in quest of his father Ulysses who has long been missing,miss
TELEMACHUS,PYLOS,Telemachus is advised to first go to Pylos to seek information about his father,advise
TELEMACHUS,PYLOS,Telemachus is advised to first go to Pylos to seek information about his father,go
TELEMACHUS,PYLOS,Telemachus is advised to first go to Pylos to seek information about his father,seek
TELEMACHUS,NESTOR,Telemachus should ask Nestor in Pylos about his father's whereabouts,ask
TELEMACHUS,SPARTA,Telemachus should go to Sparta as his second destination,go
TELEMACHUS,MENELAUS,Telemachus should visit Menelaus in Sparta for information about his father,visit
MENELAUS,ACHAEANS,Menelaus was the last of all the Achaeans to get home,be
MENELAUS,ACHAEANS,Menelaus was the last of all the Achaeans to get home,get
TELEMACHUS,SUITORS,Telemachus is advised to kill the suitors in his own house by fair means or foul,advise
TELEMACHUS,SUITORS,Telemachus is advised to kill the suitors in his own house by fair means or foul,kill
ORESTES,AEGISTHUS,"Orestes killed Aegisthus, his father's murderer, and is praised for it",kill
ORESTES,AEGISTHUS,"Orestes killed Aegisthus, his father's murderer, and is praised for it",praise
TELEMACHUS,ORESTES,Telemachus is compared to Orestes as an example of someone who avenged his father,compare
TELEMACHUS,ORESTES,Telemachus is compared to Orestes as an example of someone who avenged his father,avenge
MENTES,SHIP,Mentes must return to his ship,return
MENTES,CREW,Mentes must return to his crew who will be impatient if kept waiting,return
MENTES,CREW,Mentes must return to his crew who will be impatient if kept waiting,be
MENTES,CREW,Mentes must return to his crew who will be impatient if kept waiting,keep
MENTES,CREW,Mentes must return to his crew who will be impatient if kept waiting,wait
TELEMACHUS,MINERVA,Telemachus speaks to Minerva as though she were talking to her own son and offers hospitality,speak
TELEMACHUS,MINERVA,Telemachus speaks to Minerva as though she were talking to her own son and offers hospitality,talk
TELEMACHUS,MINERVA,Telemachus speaks to Minerva as though she were talking to her own son and offers hospitality,offer
MINERVA,TELEMACHUS,Minerva gives Telemachus courage and makes him think more about his father,give
MINERVA,TELEMACHUS,Minerva gives Telemachus courage and makes him think more about his father,make
MINERVA,TELEMACHUS,Minerva gives Telemachus courage and makes him think more about his father,think
TELEMACHUS,PRESENT,Telemachus offers to give Minerva a present of great beauty and value as a keepsake,offer
TELEMACHUS,PRESENT,Telemachus offers to give Minerva a present of great beauty and value as a keepsake,give
MINERVA,PRESENT,Minerva declines the present for now but promises to accept it when she returns,decline
MINERVA,PRESENT,Minerva declines the present for now but promises to accept it when she returns,promise
MINERVA,PRESENT,Minerva declines the present for now but promises to accept it when she returns,accept
MINERVA,PRESENT,Minerva declines the present for now but promises to accept it when she returns,return
TELEMACHUS,BATH,Telemachus offers a bath to refresh the stranger,offer
TELEMACHUS,BATH,Telemachus offers a bath to refresh the stranger,refresh
MINERVA,BIRD,Minerva flies away like a bird into the air,fly
TELEMACHUS,ULYSSES,Telemachus thinks more than ever about his father Ulysses after Minerva's visit,think
TELEMACHUS,SUITORS,Telemachus went straight to where the suitors were sitting after realizing the stranger was a god,go
TELEMACHUS,SUITORS,Telemachus went straight to where the suitors were sitting after realizing the stranger was a god,sit
TELEMACHUS,SUITORS,Telemachus went straight to where the suitors were sitting after realizing the stranger was a god,realize
TELEMACHUS,SUITORS,Telemachus went straight to where the suitors were sitting after realizing the stranger was a god,be
PHEMIUS,SUITORS,Phemius was singing to the suitors who sat rapt in silence,sing
PHEMIUS,SUITORS,Phemius was singing to the suitors who sat rapt in silence,sit
PHEMIUS,TROY,Phemius was telling the sad tale of the return from Troy,tell
PHEMIUS,TROY,Phemius was telling the sad tale of the return from Troy,return
MINERVA,ACHAEANS,Minerva had laid ills upon the Achaeans according to Phemius's song,lay
PENELOPE,ICARIUS,Penelope is the daughter of Icarius,be
PENELOPE,HANDMAIDS,Penelope was attended by two handmaids when she came downstairs,attend
PENELOPE,HANDMAIDS,Penelope was attended by two handmaids when she came downstairs,come
PENELOPE,BEARING POSTS,Penelope stood by one of the bearing posts that supported the roof,stand
PENELOPE,BEARING POSTS,Penelope stood by one of the bearing posts that supported the roof,support
PENELOPE,VEIL,Penelope held a veil before her face while weeping,hold
PENELOPE,VEIL,Penelope held a veil before her face while weeping,weep
PENELOPE,ULYSSES,"Penelope is the wife of Ulysses, her lost husband whom she mourns without ceasing",be
PENELOPE,ULYSSES,"Penelope is the wife of Ulysses, her lost husband whom she mourns without ceasing",lose
PENELOPE,ULYSSES,"Penelope is the wife of Ulysses, her lost husband whom she mourns without ceasing",mourn
PENELOPE,PHEMIUS,Penelope addresses Phemius and asks him to cease the sad tale and sing something else,address
PENELOPE,PHEMIUS,Penelope addresses Phemius and asks him to cease the sad tale and sing something else,ask
PENELOPE,PHEMIUS,Penelope addresses Phemius and asks him to cease the sad tale and sing something else,cease
PENELOPE,PHEMIUS,Penelope addresses Phemius and asks him to cease the sad tale and sing something else,sing
ULYSSES,HELLAS,Ulysses's name was great over all Hellas,be
ULYSSES,MIDDLE ARGOS,Ulysses's name was great over middle Argos,be
TELEMACHUS,PENELOPE,Telemachus is Penelope's son who tells her to let the bard sing and claims authority as master of the house,be
TELEMACHUS,PENELOPE,Telemachus is Penelope's son who tells her to let the bard sing and claims authority as master of the house,tell
TELEMACHUS,PENELOPE,Telemachus is Penelope's son who tells her to let the bard sing and claims authority as master of the house,let
TELEMACHUS,PENELOPE,Telemachus is Penelope's son who tells her to let the bard sing and claims authority as master of the house,sing
TELEMACHUS,PENELOPE,Telemachus is Penelope's son who tells her to let the bard sing and claims authority as master of the house,claim
TELEMACHUS,BARD,"Telemachus defends the bard, saying bards don't make the ills they sing of",defend
TELEMACHUS,BARD,"Telemachus defends the bard, saying bards don't make the ills they sing of",say
TELEMACHUS,BARD,"Telemachus defends the bard, saying bards don't make the ills they sing of",make
TELEMACHUS,BARD,"Telemachus defends the bard, saying bards don't make the ills they sing of",sing
JOVE,BARD,"Jove, not bards, makes the ills that are sung about according to Telemachus",make
JOVE,BARD,"Jove, not bards, makes the ills that are sung about according to Telemachus",sing
BARD,DANAANS,The bard sings about the ill-fated return of the Danaans from Troy,sing
BARD,DANAANS,The bard sings about the ill-fated return of the Danaans from Troy,return
ULYSSES,TROY,"Ulysses never came back from Troy, like many others who went down",come
ULYSSES,TROY,"Ulysses never came back from Troy, like many others who went down",go
ULYSSES,TROY,"Ulysses never came back from Troy, like many others who went down",go down
PENELOPE,LOOM,Telemachus tells Penelope to busy herself with her loom as part of her daily duties,busy
PENELOPE,LOOM,Telemachus tells Penelope to busy herself with her loom as part of her daily duties,tell
PENELOPE,DISTAFF,Telemachus tells Penelope to busy herself with her distaff as part of her daily duties,tell
PENELOPE,DISTAFF,Telemachus tells Penelope to busy herself with her distaff as part of her daily duties,busy
PENELOPE,SERVANTS,Telemachus tells Penelope to busy herself with ordering her servants,tell
PENELOPE,SERVANTS,Telemachus tells Penelope to busy herself with ordering her servants,busy
PENELOPE,SERVANTS,Telemachus tells Penelope to busy herself with ordering her servants,order
PENELOPE,HANDMAIDS,Penelope goes upstairs with her handmaids into her room,go
